country,year,index,name,renovation_generation,building_categories_index,building_category,construction_period_start,construction_period_end,number_of_dwellings_per_building,number_of_buildings,dwelling_weight,areawindows,Htr_w,effective_window_u_w_m2k,stock_window_area_m2,stock_window_htr_w_per_k,model_reference_satisfied_1_10
HUN,2025,3801,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,2947.12744141,2947.12744141,32.1023826599,160.674911499,5.00507736206,94609.8125,473529.4375,False
HUN,2025,3802,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,1758.87915039,1758.87915039,32.1023826599,98.1193084717,3.0564494133,56464.2109375,172580,False
HUN,2025,3803,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,532.955078125,532.955078125,32.1023826599,105.618492126,3.29005146027,17109.1269531,56289.9101562,False
HUN,2025,3804,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,344.837188721,344.837188721,32.1023826599,82.8516769409,2.58085751534,11070.0957031,28570.3398438,False
HUN,2025,3805,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,2721.51879883,2721.51879883,32.1023826599,127.913497925,3.98454833031,87367.234375,348119,False
HUN,2025,3806,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,1098.86987305,1098.86987305,32.1023826599,77.5960769653,2.41714382172,35276.3398438,85267.9921875,False
HUN,2025,3807,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,323.370422363,323.370422363,32.1023826599,82.2684326172,2.56268930435,10380.9609375,26603.1777344,False
HUN,2025,3808,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,282.219604492,282.219604492,32.1023826599,74.8459777832,2.33147740364,9059.921875,21123.0019531,False
HUN,2025,3809,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,623.29119873,623.29119873,32.1023826599,160.674911499,5.00507736206,20009.1328125,100147.257812,False
HUN,2025,3810,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,356.38394165,356.38394165,32.1023826599,98.1193084717,3.0564494133,11440.7734375,34968.1445312,False
HUN,2025,3811,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,105.817131042,105.817131042,32.1023826599,105.618492126,3.29005146027,3396.98193359,11176.2460938,False
HUN,2025,3812,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,63.6075210571,63.6075210571,32.1023826599,82.8516769409,2.58085751534,2041.95300293,5269.98974609,False
HUN,2025,3813,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,331.472290039,331.472290039,32.1023826599,127.913497925,3.98454833031,10641.0507812,42399.78125,False
HUN,2025,3814,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,126.627853394,126.627853394,32.1023826599,77.5960769653,2.41714382172,4065.0559082,9825.82421875,False
HUN,2025,3815,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,35.9122505188,35.9122505188,32.1023826599,82.2684326172,2.56268930435,1152.86877441,2954.44458008,False
HUN,2025,3816,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,28.9808731079,28.9808731079,32.1023826599,74.8459777832,2.33147740364,930.355102539,2169.10180664,False
HUN,2025,3817,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,2018.1809082,2018.1809082,32.1023826599,96.3983154297,3.0028398037,64788.4140625,194549.234375,False
